step,completed_agents,J1,J2,blocked_agents,step_time
577,46,11,0,2,0.021704912185668945
578,46,11,0,2,0.0064792633056640625
579,46,11,0,2,0.02106189727783203
580,46,11,0,2,0.023501157760620117
581,46,11,0,2,0.020607471466064453
582,46,11,0,2,0.021070003509521484
583,46,11,0,2,0.021445751190185547
584,46,11,0,2,0.021541118621826172
585,46,11,0,2,0.022104263305664062
586,46,11,0,2,0.022379636764526367
587,46,11,0,2,0.020833730697631836
588,46,11,0,2,0.020574092864990234
589,46,11,0,2,0.021355867385864258
590,46,11,0,2,0.028455734252929688
591,46,11,0,2,0.021146535873413086
592,46,11,0,2,0.020856380462646484
593,46,11,0,2,0.019826889038085938
594,46,11,0,2,0.020775794982910156
595,46,11,0,2,0.021912813186645508
596,46,11,0,2,0.025562286376953125
597,46,11,0,2,0.01781606674194336
598,46,11,0,2,0.02197098731994629
599,46,11,0,2,0.02219367027282715
600,46,11,0,2,0.02058887481689453
601,46,11,0,2,0.020838022232055664
602,46,11,0,2,0.022773265838623047
603,46,11,0,2,0.014081239700317383
604,46,25,0,1,0.02082514762878418
605,46,25,0,1,0.022672414779663086
606,46,25,0,1,0.0060694217681884766
607,46,25,0,1,0.02131795883178711
608,46,25,0,1,0.02188849449157715
609,46,23,0,1,0.022994518280029297
610,46,23,0,1,0.023021936416625977
611,46,23,0,1,0.012943029403686523
612,46,22,0,2,0.023299694061279297
613,46,22,0,1,0.021618366241455078
614,46,22,0,1,0.020766735076904297
615,46,22,0,1,0.02282571792602539
616,46,24,0,1,0.02908802032470703
617,46,24,0,1,0.021254777908325195
618,46,24,0,1,0.021251916885375977
619,46,24,0,1,0.022451400756835938
620,46,24,0,1,0.02736806869506836
621,46,23,0,2,0.02900409698486328
622,46,23,0,1,0.021986961364746094
623,46,23,0,1,0.022193193435668945
624,46,23,0,1,0.02191472053527832
625,46,23,0,1,0.02314925193786621
626,46,23,0,1,0.022137880325317383
627,46,23,0,1,0.021752357482910156
628,46,23,0,1,0.02588653564453125
629,46,23,0,1,0.0273134708404541
630,46,22,0,2,0.02181220054626465
631,46,22,0,1,0.02146625518798828
632,46,22,0,1,0.024999380111694336
633,46,22,0,1,0.023098230361938477
634,46,22,0,1,0.022868871688842773
635,46,22,0,1,0.0230560302734375
636,46,22,0,1,0.020760536193847656
637,46,22,0,1,0.021886587142944336
