step,completed_agents,J1,J2,blocked_agents,step_time
280,29,3,0,0,0.007610797882080078
281,29,3,0,0,0.007663726806640625
282,29,3,0,0,0.008033037185668945
283,29,3,0,0,0.007699251174926758
284,29,3,0,0,0.007846593856811523
285,29,3,0,0,0.007704734802246094
286,29,3,0,0,0.007622480392456055
287,29,3,0,0,0.01022958755493164
288,29,3,0,0,0.011633157730102539
289,29,3,0,0,0.0077114105224609375
290,29,3,0,0,0.007733821868896484
291,29,3,0,0,0.008037567138671875
292,29,3,0,0,0.007750749588012695
293,29,3,0,0,0.007681608200073242
294,28,5,0,0,0.007583141326904297
295,28,5,0,0,0.007767915725708008
296,28,5,0,0,0.007842779159545898
297,28,5,0,0,0.00972747802734375
298,28,5,0,0,0.008178949356079102
299,28,5,0,0,0.00829625129699707
300,28,5,0,0,0.007567882537841797
301,28,5,0,0,0.0024690628051757812
302,29,4,0,1,0.002444744110107422
303,29,4,0,0,0.007748842239379883
304,29,4,0,0,0.007773637771606445
305,29,4,0,0,0.00853729248046875
306,29,4,0,0,0.007676362991333008
307,29,4,0,0,0.003672361373901367
308,29,4,0,0,0.0034999847412109375
309,29,4,0,0,0.004002809524536133
310,29,4,0,0,0.006680727005004883
311,28,6,0,0,0.006578207015991211
312,28,6,0,0,0.006254434585571289
313,28,6,0,0,0.008330821990966797
314,28,6,0,0,0.008002996444702148
315,28,6,0,0,0.008004188537597656
316,28,6,0,0,0.008071660995483398
317,28,6,0,0,0.007805347442626953
318,28,6,0,0,0.008931398391723633
319,29,5,0,1,0.007836341857910156
320,29,5,0,0,0.009557485580444336
321,29,5,0,0,0.011108160018920898
322,28,7,0,0,0.008153200149536133
